comment_id,author,text,published_at,likes,is_reply
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUR9zjVAXBo,@DomFennix,"​ @dersadorada menos mal él es mas de blanquear guerrillas, secuestrar, reclutar forzadamente a menores y a vivir de la teta del estado sin hacer nada",hace 4 días,0,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU2IiLmoX8-,@xaspermaster23,A todos los invitados le da ansiedad que Sánchez maneje 😂,hace 2 semanas,2,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU3QGEltDyF,@frankstevenrojascruz8098,"Pero si quieres quedar bien neutral es , Hacemos reir a guerrileros y paracos =)",hace 13 días,2,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU6qpuRUhbf,@pedroluiss3,"LOS CHISTES NO, PERO EL VIDEO SÍ. AUNQUE ESTÁN EN TODO SU DERECHO, ES RESPETABLE, PERO VAMOS A VER SI DESDE HOY SE DAN CUENTA CÓMO AFECTA ESO.",hace 12 días,2,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU7Ivc0xwL6,@kevinherrera9476,Otro bobo de uribe,hace 12 días,2,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUGXGTYidHe,@ADQPlatines,"No mka, no.",hace 8 días,2,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUK0A69T-us,@andresortiz9989,"Perritos la cagaron, la plena los veo y me gusta mucho el contenido pero hacer esto, en plena campaña electoral???mk hay muchísima gente fácil de influenciar y aunque no lo crean esto dío votos a l a nueva formula vice-presidencial del uribismo EL NUEVO TIBIO Oviedo....",hace 7 días,2,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAULI22twV1E,@estebanbenavides6087,"Que bien que le hicieron campaña a la derecha les pusieron vicepresidente ""centro"" jajajaja los veo, pero para hacer humor político hay que pensar estudien un poquito, mejor sigan con el humor de siempre que no creo se pongan a estudiar para poder entender, y ponen a Jaime garzon jajajaja definitivamente hay que estudiar.",hace 6 días,2,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU1sode0sPz,@franciscotb_artista,Solo invitan a un candidato y lo publican a dos días de la consulta 🤔,hace 2 semanas,21,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU9KkJ2HyDU,@M.R.M-BC,"​ @franciscotb_artista vendidos, el empujón pa más farsa de la derecha. 😷",hace 11 días,9,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU2AVbvGKU4,@QWERTYUIOPASDFGHJKLÑZXCVBN777,@Santiago.Botero.Jaramillo,hace 2 semanas,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU9QYjfiPic,@gerardopardoherrera1199,Ahora Oviedo no cree en nadie,hace 11 días,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUC9xPusYbs,@IANYAELSANCHEZJACOME,"Son los mejores 👍🏼 
Definitivamente la rompen 
Bendiciones 🙏🏼",hace 10 días,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUEG__bktJd,@cristiandavidvalenciazape5007,Que inviten a Iván Cepeda,hace 9 días,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUGMzV-E-3q,@Tusasamon,Jajajajajaja los dejaron como unos idiotas ahora Oviedo se vendió y se quitó el disfraz jajajajajaja imbéciles los utilizaron así antojo idiotas yo pensé que solo había enfermos del cuerpo ahora veo que también se la cabeza el más cuerdo es emir y eso que se la pasa metiendo tussi,hace 8 días,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUGi-kW_kI0,@danielariza8935,"Soy 100% fan de ustedes , no los juzgo por traer un político al programa esta bien, de eso se trata el programa sientan al que sea sin discriminación alguna por eso los veo,  pero no todo  puede escudarse en un chiste existen temas que si traspasan un chiste, lo que si es para pensarlo con seriedad es lanzar ese capitulo antes de las votaciones, deja muchoo que pensar,  porque lo vieron casi dos millones de personas y claro que eso pudo influenciar el voto y hoy es candidato vicepresidencial.
No los culpo ni los juzgo nadie es quien para hacerlo,  pero no todo se puede justificar con un chiste  y hay acciones que traen consigo una responsabilidad con la sociedad ,porque quieran o no son ya figuras públicas. Y hasta para contar un chiste hay que ser profesional. 
Solo es una opinión 
La buena muchachos.",hace 8 días,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUHJy_euD8T,@davidortiz4893,Ingenuidad que va a capitalizar la derecha,hace 8 días,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUHjRMLwsWO,@TEFAOLMOS,"jahajahaja ""los chistes no tienen partido politico"" ellos todo el capitulo ""VOTEN POR OVIEDO, OVIEDO PRESIDENTE""",hace 8 días,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUHpzMJ62Wx,@TanyaVargas33,PERO EL ALCANCE SI TIENE SENTIDO ; Y LES DEBERIA DAR VERGUENZA EL ALCANCE QUE TUVO ESTE MAN CON SU CAPITULO ; SEAN COHERENTES PORQUE EL CAMILO CRITICA ESTE TIPO DE PERSONAS EN EL OTRO PROGRAMA QUE TIENE Y DESPUES PONE A UN MAN RE DERECHISTA EN OTRO PROGRAMA . SEAN COHERENTES Y QUE LAS RISAS NO BORRE LA HISTORIA,hace 8 días,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUIQH_59QkG,@danielbohorquezalvarado5841,Jajaja si claro. Todo por la plata 🤑,hace 7 días,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUIUMORBidY,@djnoirx,Naaah mano. Se vendio horrible 🫩🫩🫩🤢🤢🤢,hace 7 días,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUId-30PvYf,@CristhianalexisSalamancamendez,"Siento que si la cagaron subiendo a alguien a hacer campaña y como los ven muchas personas les paso lo que a mí que me cayó bien el tipo aunque no vote por el pero pailas no se caguen el programa así locos, y si, el tipo de humor es claramente para hacerle sátira al gobierno sea el de petro o cualquiera pero NO para lavarle la cara a OVIEDO",hace 7 días,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUIpEJEZPc4,@andreslozano285,Vendidos,hace 7 días,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUNkhfAgGjM,@RAMLUCIA07OlgaRamirez,"No es así. No olviden que son influenciadores y si no tienen claridad confundían y harán reinar, no se vale usar la imagen de Garzón, quien murió por un chiste del paraco mayor y seguir lavando a estos tipos, que pregúntele si de verdad les importamos. Conocen a Yaper? Pues se los presento. Hagan las vainas bien. O prefieren cuidar sus culitos??? Siendo como Fajardo.",hace 5 días,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU1SqmzzhRB,@tatiana737,No sean tibios!,hace 2 semanas,18,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU1VML4Jxqx,@pablojp4062," @tatiana737  cual tibio bobo hijueputa, gracias a su posicion colombia ha estado y seguramente seguira asi mas tiempo",hace 2 semanas,0,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU1UvfiIrtF,@F.CUERVO,"​ @tatiana737  Justo de gente como tú es de la que hablaban, en que momento dijeron algo tibio, nunca hablaron de darle el voto a él o no se vio el video?",hace 2 semanas,14,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU2okoN4RI-,@daviduran34,Se vendieron !,hace 2 semanas,18,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUAueU82aSD,@franciscotb_artista,Lo mejor es no volver a ver el contenido de estos manes porque les damos un poder que no saben manejar,hace 10 días (editado),17,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUKmMfibcxS,@Guevaramorandrea,​ @franciscotb_artista totalmente de acuerdo,hace 7 días,4,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUNkqbqEBGo,@RAMLUCIA07OlgaRamirez,​ @franciscotb_artista absolutamente . Hoy ya me despido.,hace 5 días,3,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU1mAd-lY3U,@DiegoToro-i4o,que triste que el producto que se estaba creando se haya vendido de esa forma,hace 2 semanas,16,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU24dwkyuiL,@andrescamayo3371,"​ @DiegoToro-i4o cuál vendido, si ellos no van ni a votar por él.",hace 2 semanas,2,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU269lnW9KA,@DanielGarcia-qf1vo, @DiegoToro-i4o   pobrecito no lo vea gente como ud sobra,hace 2 semanas,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU2kHTb0hM5,@camilogutierrez796,"La verdad me parece asqueroso que le hagan publicidad política  a a este sujeto , lo primero su madrina política es una Uribista , nunca quiso trabajar con con Petro pero si con duque, yo sé que necesitan comer pero no le hagan daño al pueblo...",hace 2 semanas,16,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU3dmBC6ySt,@alexandergiron5070,​ @camilogutierrez796 imagino que en el capítulo de Aida escribió algo similar por qué ella y la mamá claramente pertenecen al clan Gerlein.....que estupidez pensar que le hacen propaganda a la derecha cuando tanto en principio y final colocan un fragmento de Jaime Garzón..,hace 13 días,3,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU45x_TnP1J,@FamososReview,​ @camilogutierrez796 lo importante es que la gente conozca a los candidatos y que el mafioso De La Espriella pierda,hace 13 días,3,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU1UK9VUFHT,@stevenRF1,Osea que para ser de derecha hay que ser paraco?,hace 2 semanas,0,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU1oH59JTyZ,@JhonJairoCamargoDiaz-ix9fp,"Con solo ver la cara de ese hpta burgués se me quitan las ganas de ver el video , hoy paso y sigo deslizando. Apoyo cualquier contenido especialmente de la gente común y corriente, la gente de a pie los verdaderos guerreros Colombianos",hace 2 semanas,0,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU20GXb7yBk,@YunnyPenarandaMurillo,"Admiración y respeto por la faceta de humoristas.
Pero el mejor de este Trio es el EMIR es un man que la tiene clara. 
Ya han viajado tanto, y conocen países capitalistas pero en cerebro les corre la mierda izquierda socialista. Los invito hacer una GIRA por Venezuela para que de den cuenta el CANCER QUE ES LA IZQUIERDA SOCIALISTA.",hace 2 semanas,0,False
